5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1
5 5 6 3 3 3 3 3 3 3 3 3 3 3 4 3 4 3 3 3 3 3 3 3 3 3 3 3 4 5 5 5 1
5 5 6 2 3 3 3 4 3 3 3 4 3 3 4 1 2 3 3 4 3 3 3 4 3 3 3 4 2 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 8 1 1 8 1 8 1 1 8 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 2 1 1 2 1 2 1 1 2 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 3 3 3 4 3 3 3 4 1 1 2 1 2 1 1 2 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 2 1 1 2 1 2 1 1 2 11 3 3 4 3 3 3 4 2 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 2 3 3 3 3 3 3 3 4 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 2 2 3 3 3 3 3 4 8 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 1 3 3 3 3 3 3 3 4 2 1 1 1 1 1 2 2 3 3 3 3 3 3 3 3 2 5 5 5 1
5 5 6 4 3 3 3 4 3 4 3 4 2 1 1 1 1 1 2 2 3 3 3 4 3 3 3 4 2 5 5 5 1
5 5 6 8 1 1 1 2 1 2 1 2 2 1 1 1 1 1 2 2 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 2 1 2 1 2 1 3 3 3 3 3 3 2 1 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 2 9 3 9 4 3 3 4 11 4 3 3 3 4 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 3 3 3 4 1 1 1 8 1 1 2 1 2 1 1 1 2 3 3 4 3 3 3 4 4 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 2 1 1 8 1 2 1 1 1 2 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 8 1 1 1 2 1 1 2 1 2 1 1 1 2 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 2 1 1 1 2 1 1 1 2 1 1 2 1 2 1 1 1 2 1 1 2 1 1 1 2 2 5 5 5 1
5 5 6 1 3 3 3 3 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 3 3 3 9 3 2 5 5 5 1
5 5 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 1
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1

